Building,Floor,Sqft,Price,Availability
Cascades,6,568,"$2,005",7/16/2020
Cascades,2,600,"$2,060",6/21/2020
Cascades,5,564,"$2,120",7/13/2020
Cascades,1,658,"$2,130",6/21/2020
Cascades,7,667,"$2,230",6/28/2020
Cascades,2,686,"$2,265",8/28/2020
Cascades,7,718,"$2,290",7/20/2020
Cascades,3,771,"$2,330",7/21/2020
Cascades,5,749,"$2,405",6/21/2020
Cascades,4,760,"$2,405",7/2/2020
Cascades,6,758,"$2,435",6/21/2020
MarkOn8th,4,587,"$2,150",7/6/2020
MarkOn8th,2,760,"$2,170",6/28/2020
MarkOn8th,5,696,"$2,320",7/8/2020
MarkOn8th,7,642,"$2,550",7/23/2020
MarkOn8th,7,588,"$2,580",7/9/2020
MarkOn8th,7,658,"$2,600",7/8/2020
